id,last,first,state,phone,email,gradyear,gpa,program
2001,Cunningham,William,Massachusetts,(781) 555-597,wcunningham@alumni.rouxacademy.com,2009,2.12,Graphic Design
2108,Day,Cesar,Maryland,(443) 555-821,cday@alumni.rouxacademy.com,2005,3.97,Graphic Design
2158,Robertson,Collette,South Carolina,(843) 555-932,crobertson@alumni.rouxacademy.com,2009,2.47,Fine Art and Visual Culture
2201,Owens,Maisie,Colorado,(303) 555-177,mowens@alumni.rouxacademy.com,2003,3.59,Animation
2340,Maxwell,Beatriz,Missouri,(314) 555-421,bmaxwell@alumni.rouxacademy.com,2001,2.13,Animation
2426,Snow,Graham,California,(650) 555-673,gsnow@alumni.rouxacademy.com,2011,2.73,Graphic Design
2545,Crosby,Mimi,Minnesota,(218) 555-321,mcrosby2@alumni.rouxacademy.com,2008,2.12,Fine Art and Visual Culture
2553,Patterson,Isela,Illinois,(630) 555-684,ipatterson@alumni.rouxacademy.com,2011,3.35,Photography
2969,Riddle,Sandee,Missouri,(573) 555-670,sriddle@alumni.rouxacademy.com,2005,3.45,Graphic Design
3055,Farmer,Tandra,Hawaii,(808) 555-322,tfarmer@alumni.rouxacademy.com,2004,2.02,Fashion and Textile Design
3064,Tate,Aurelia,New Jersey,(732) 555-056,atate@alumni.rouxacademy.com,2009,2.31,Graphic Design
3393,Skinner,Coralie,California,(805) 555-949,cskinner@alumni.rouxacademy.com,2008,2.36,Fine Art and Visual Culture
3460,Mcpherson,Elenora,New York,(929) 555-800,emcpherson@alumni.rouxacademy.com,2008,3.87,Animation
3569,Lambert,Shani,Texas,(325) 555-354,slambert2@alumni.rouxacademy.com,2011,3.54,Graphic Design
3605,Jarvis,Owen,Georgia,(912) 555-184,ojarvis@alumni.rouxacademy.com,2001,3.12,Graphic Design
3728,Cohen,Sheilah,Oklahoma,(918) 555-027,scohen@alumni.rouxacademy.com,2008,3.73,Fashion and Textile Design
3749,Rivera,Jonnie,Florida,(386) 555-708,jrivera@alumni.rouxacademy.com,2009,3.92,Graphic Design
3757,Finch,Hong,Florida,(954) 555-512,hfinch@alumni.rouxacademy.com,2000,2.48,Animation
3874,Weber,Regine,Texas,(325) 555-829,rweber@alumni.rouxacademy.com,2011,3.42,Fine Art and Visual Culture
4141,Becker,Clark,Minnesota,(507) 555-459,cbecker@alumni.rouxacademy.com,2000,2.34,Fine Art and Visual Culture
4259,Ballard,Annette,Pennsylvania,(267) 555-262,aballard@alumni.rouxacademy.com,2005,2.62,Photography
4392,Mueller,Leslie,Georgia,(706) 555-881,lmueller2@alumni.rouxacademy.com,2005,2.51,Graphic Design
4429,Buckley,Sun,Colorado,(720) 555-714,sbuckley2@alumni.rouxacademy.com,2001,3.5,Animation
4473,Graves,Nereida,Florida,(813) 555-666,ngraves@alumni.rouxacademy.com,2005,2.55,Graphic Design
4494,Mccall,Marisela,Oklahoma,(405) 555-719,mmccall@alumni.rouxacademy.com,2010,2.44,Graphic Design
4702,Johns,Matilde,Oregon,(458) 555-335,mjohns2@alumni.rouxacademy.com,2004,2.62,Fashion and Textile Design
4769,Lopez,Eddy,California,(310) 555-779,elopez2@alumni.rouxacademy.com,2011,2.18,Animation
4772,Vincent,Francene,Ohio,(330) 555-736,fvincent@alumni.rouxacademy.com,2007,3.18,Fine Art and Visual Culture
4792,Good,Clyde,Missouri,(636) 555-719,cgood2@alumni.rouxacademy.com,2003,3.81,Animation
5141,Schmidt,Alejandrina,California,(831) 555-380,aschmidt@alumni.rouxacademy.com,2008,3.57,Animation
5320,Chandler,Linsey,Texas,(281) 555-047,lchandler@alumni.rouxacademy.com,2009,2.04,Photography
5341,Bowen,Adaline,Arkansas,(479) 555-078,abowen2@alumni.rouxacademy.com,2010,2.32,Fashion and Textile Design
5342,Singleton,Setsuko,Nevada,(775) 555-910,ssingleton@alumni.rouxacademy.com,2007,2.51,Animation
5396,Curtis,Fredericka,Mississippi,(228) 555-019,fcurtis2@alumni.rouxacademy.com,2011,3.04,Graphic Design
5437,Weaver,Tobias,Virginia,(571) 555-438,tweaver@alumni.rouxacademy.com,2011,3.7,Graphic Design
5501,Mckay,Darline,Alabama,(256) 555-170,dmckay2@alumni.rouxacademy.com,2008,3.93,Graphic Design
5921,Jacobson,Zane,Tennessee,(931) 555-471,zjacobson@alumni.rouxacademy.com,2003,2.25,Fashion and Textile Design
6111,Ortega,Lillian,Kansas,(913) 555-116,lortega@alumni.rouxacademy.com,2005,2.09,Graphic Design
6674,Gilliam,Lane,New Mexico,(505) 555-922,lgilliam@alumni.rouxacademy.com,2011,2.95,Fine Art and Visual Culture
7028,Richards,Dong,Iowa,(563) 555-583,drichards2@alumni.rouxacademy.com,2008,3.84,Graphic Design
7128,Livingston,Jose,New York,(607) 555-784,jlivingston@alumni.rouxacademy.com,2011,3.59,Photography
7188,Myers,Lorrine,Missouri,(816) 555-174,lmyers@alumni.rouxacademy.com,2008,2.65,Photography
7371,Walls,Yasmine,Pennsylvania,(412) 555-309,ywalls@alumni.rouxacademy.com,2001,2.98,Fashion and Textile Design
7501,Floyd,Brittney,California,(707) 555-125,bfloyd@alumni.rouxacademy.com,2006,3.47,Graphic Design
7591,Steele,Josue,Michigan,(248) 555-555,jsteele@alumni.rouxacademy.com,2006,3.35,Animation
7659,Potter,Wilton,Oklahoma,(405) 555-474,wpotter@alumni.rouxacademy.com,2005,3.36,Animation
7834,Ryan,Ute,Nebraska,(402) 555-291,uryan@alumni.rouxacademy.com,2008,3.71,Animation
7913,Pearson,Ayana,Mississippi,(601) 555-361,apearson@alumni.rouxacademy.com,2001,3.38,Animation
8075,Mcfarland,Laci,Michigan,(313) 555-431,lmcfarland@alumni.rouxacademy.com,2005,3.6,Fashion and Textile Design
8132,Vance,Danyelle,Ohio,(330) 555-651,dvance2@alumni.rouxacademy.com,2004,2.18,Fashion and Textile Design
8200,Wooten,Natacha,Nebraska,(531) 555-510,nwooten@alumni.rouxacademy.com,2006,2.4,Graphic Design
8209,Sanchez,Danae,Florida,(321) 555-353,dsanchez@alumni.rouxacademy.com,2010,3.77,Photography
8320,Ingram,Roxane,New Hampshire,(603) 555-578,ringram@alumni.rouxacademy.com,2007,3.1,Animation
8334,Farrell,Ilona,Massachusetts,(857) 555-125,ifarrell@alumni.rouxacademy.com,2003,2.1,Photography
8495,Doyle,Lavinia,Pennsylvania,(267) 555-625,ldoyle@alumni.rouxacademy.com,2000,3.7,Animation
8609,Morrison,Eric,Iowa,(641) 555-083,emorrison@alumni.rouxacademy.com,2000,2.55,Graphic Design
9007,Dodson,Earlie,Pennsylvania,(878) 555-321,edodson@alumni.rouxacademy.com,2005,3.55,Photography
9067,Duncan,Lacie,Texas,(409) 555-277,lduncan2@alumni.rouxacademy.com,2002,2.11,Fashion and Textile Design
9084,Morin,Lupita,Missouri,(417) 555-039,lmorin3@alumni.rouxacademy.com,2011,2.07,Fine Art and Visual Culture
9314,Bradshaw,Emilio,Massachusetts,(857) 555-360,ebradshaw2@alumni.rouxacademy.com,2002,2.52,Fashion and Textile Design
9326,Petty,Curtis,Wisconsin,(414) 555-275,cpetty@alumni.rouxacademy.com,2010,3.02,Animation
9329,Becker,Tabetha,Rhode Island,(401) 555-854,tbecker@alumni.rouxacademy.com,2000,3.04,Graphic Design
9407,Salas,Vicente,Texas,(254) 555-051,vsalas@alumni.rouxacademy.com,2001,2.6,Graphic Design
9481,Hogan,Erick,Kentucky,(270) 555-341,ehogan@alumni.rouxacademy.com,2000,3.77,Animation
9510,Knight,Beula,Kansas,(913) 555-449,bknight2@alumni.rouxacademy.com,2000,2.03,Graphic Design
9612,Mcgowan,Desire,California,(707) 555-808,dmcgowan2@alumni.rouxacademy.com,2010,3.87,Animation
9649,Barker,Leia,Louisiana,(504) 555-837,lbarker@alumni.rouxacademy.com,2009,3.2,Fine Art and Visual Culture
9677,Wiggins,Sherri,California,(424) 555-270,swiggins@alumni.rouxacademy.com,2004,2.43,Photography
9720,Odonnell,Jonathan,Florida,(754) 555-822,jodonnell@alumni.rouxacademy.com,2010,2.47,Photography
9746,Preston,Johnsie,Texas,(469) 555-937,jpreston@alumni.rouxacademy.com,2011,3.69,Fine Art and Visual Culture
10038,Tanner,Tilda,Virginia,(276) 555-147,ttanner@alumni.rouxacademy.com,2002,3.75,Fine Art and Visual Culture
10061,Emerson,Onita,Kansas,(785) 555-097,oemerson@alumni.rouxacademy.com,2001,3.07,Animation
10167,English,Ignacia,Michigan,(586) 555-869,ienglish@alumni.rouxacademy.com,2009,2.83,Fine Art and Visual Culture
10193,Hobbs,Lorelei,Florida,(941) 555-024,lhobbs3@alumni.rouxacademy.com,2006,2.21,Animation
10217,Sellers,Berenice,California,(661) 555-538,bsellers@alumni.rouxacademy.com,2009,3.54,Animation
10459,Velazquez,Nolan,Florida,(561) 555-850,nvelazquez@alumni.rouxacademy.com,2011,2.03,Fine Art and Visual Culture
10695,Romero,Gianna,Georgia,(478) 555-310,gromero@alumni.rouxacademy.com,2008,2.87,Fine Art and Visual Culture
10796,Kerr,Dwight,Florida,(561) 555-889,dkerr@alumni.rouxacademy.com,2003,2.6,Fashion and Textile Design
10821,Mcneil,Alex,Washington,(360) 555-711,amcneil@alumni.rouxacademy.com,2009,3.75,Animation
10879,Hutchinson,Josefine,Florida,(561) 555-517,jhutchinson@alumni.rouxacademy.com,2003,2.68,Animation
11073,Santana,Cody,South Carolina,(843) 555-991,csantana@alumni.rouxacademy.com,2004,2.98,Animation
11258,Vega,Dinah,Texas,(903) 555-478,dvega@alumni.rouxacademy.com,2005,3.63,Animation
11408,Morris,Rose,Maine,(207) 555-739,rmorris@alumni.rouxacademy.com,2009,2.33,Photography
11484,Nielsen,Carolynn,Ohio,(216) 555-100,cnielsen@alumni.rouxacademy.com,2004,3.77,Photography
11508,Griffin,Bailey,Alabama,(205) 555-436,bgriffin@alumni.rouxacademy.com,2001,2.3,Photography
11533,Pena,Hermila,South Carolina,(803) 555-229,hpena@alumni.rouxacademy.com,2003,2.79,Photography
11541,Riggs,Moon,California,(310) 555-107,mriggs3@alumni.rouxacademy.com,2000,2.32,Fashion and Textile Design
11668,Kirkland,Lawanda,Virginia,(276) 555-648,lkirkland@alumni.rouxacademy.com,2002,3.15,Animation
11704,Blake,Lovie,Pennsylvania,(878) 555-571,lblake@alumni.rouxacademy.com,2005,3.7,Fashion and Textile Design
11764,Avery,Elwanda,California,(559) 555-793,eavery@alumni.rouxacademy.com,2001,3.63,Animation
11845,Alston,Rudolf,Maryland,(443) 555-914,ralston@alumni.rouxacademy.com,2008,2.03,Animation
11904,Clemons,Ona,Texas,(432) 555-082,oclemons@alumni.rouxacademy.com,2011,2.2,Animation
11933,Payne,Hiroko,New Jersey,(201) 555-699,hpayne2@alumni.rouxacademy.com,2005,3.79,Graphic Design
11965,Byers,Florance,Virginia,(571) 555-253,fbyers@alumni.rouxacademy.com,2002,2.64,Fine Art and Visual Culture
11968,Kelly,Naomi,Tennessee,(901) 555-162,nkelly@alumni.rouxacademy.com,2010,3.53,Graphic Design
11973,Bass,Cole,Illinois,(773) 555-895,cbass@alumni.rouxacademy.com,2003,2.86,Fashion and Textile Design
12043,Adams,Nicola,Michigan,(231) 555-121,nadams@alumni.rouxacademy.com,2004,2.81,Fashion and Textile Design
12159,Massey,Lisha,Washington,(509) 555-100,lmassey@alumni.rouxacademy.com,2003,2.41,Fashion and Textile Design
12216,Goodman,Millie,Washington D.C.,(202) 555-043,mgoodman@alumni.rouxacademy.com,2011,2.54,Graphic Design
12332,Barrett,Sidney,New Jersey,(848) 555-071,sbarrett@alumni.rouxacademy.com,2000,2.28,Animation
12364,Stafford,Russel,New York,(845) 555-785,rstafford2@alumni.rouxacademy.com,2003,3.78,Graphic Design
12393,Ferguson,Kendall,Mississippi,(662) 555-875,kferguson@alumni.rouxacademy.com,2009,3.25,Fashion and Textile Design
12412,Mitchell,Caroline,Louisiana,(504) 555-084,cmitchell@alumni.rouxacademy.com,2007,3.54,Animation
12554,Newman,Tonya,Kentucky,(859) 555-526,tnewman@alumni.rouxacademy.com,2000,3.43,Graphic Design
12648,Gross,Roselle,Arkansas,(501) 555-918,rgross@alumni.rouxacademy.com,2010,2.16,Animation
12772,Atkinson,Wenona,Florida,(727) 555-618,watkinson@alumni.rouxacademy.com,2004,3.71,Photography
12834,Dawson,Mikaela,Indiana,(574) 555-005,mdawson@alumni.rouxacademy.com,2002,2.9,Photography
12844,Boyd,Avis,Illinois,(312) 555-407,aboyd@alumni.rouxacademy.com,2010,2.87,Animation
12888,Ramsey,Lyn,Massachusetts,(774) 555-224,lramsey2@alumni.rouxacademy.com,2010,2.06,Fashion and Textile Design
12918,Finley,Delisa,Florida,(352) 555-215,dfinley@alumni.rouxacademy.com,2001,2.95,Fashion and Textile Design
13052,Rasmussen,Drew,Illinois,(618) 555-024,drasmussen@alumni.rouxacademy.com,2011,2.87,Photography
13076,House,Staci,Florida,(904) 555-823,shouse@alumni.rouxacademy.com,2000,3.07,Fashion and Textile Design
13355,Justice,Chere,Michigan,(947) 555-470,cjustice2@alumni.rouxacademy.com,2001,3.88,Fine Art and Visual Culture
13487,Norris,Angelina,New York,(631) 555-908,anorris@alumni.rouxacademy.com,2005,3.68,Animation
13526,Combs,Darin,Iowa,(319) 555-245,dcombs@alumni.rouxacademy.com,2008,3.75,Fashion and Textile Design
13624,Barron,Ross,Indiana,(765) 555-286,rbarron@alumni.rouxacademy.com,2007,3.03,Animation
13655,Shaffer,Providencia,California,(949) 555-280,pshaffer@alumni.rouxacademy.com,2003,2.7,Graphic Design
13667,Castro,Janiece,New Jersey,(908) 555-137,jcastro@alumni.rouxacademy.com,2010,2.19,Animation
13693,Kelley,Theron,Arkansas,(870) 555-456,tkelley@alumni.rouxacademy.com,2004,2.3,Photography
13697,Gregory,Ludie,Virginia,(434) 555-993,lgregory@alumni.rouxacademy.com,2007,2.28,Fine Art and Visual Culture
13827,Solomon,Trista,California,(530) 555-897,tsolomon@alumni.rouxacademy.com,2000,2.48,Graphic Design
13838,Rodriguez,Shondra,Nebraska,(531) 555-469,srodriguez2@alumni.rouxacademy.com,2002,3.03,Graphic Design
13854,Bennett,Marcell,Rhode Island,(401) 555-824,mbennett@alumni.rouxacademy.com,2003,2.73,Photography
14070,Nieves,Lilli,Pennsylvania,(484) 555-602,lnieves2@alumni.rouxacademy.com,2011,3.32,Animation
14171,Humphrey,Leonia,Louisiana,(225) 555-659,lhumphrey@alumni.rouxacademy.com,2001,3.08,Photography
14224,Cameron,Kasie,Missouri,(660) 555-677,kcameron@alumni.rouxacademy.com,2010,3.68,Fashion and Textile Design
14318,Mullins,Chasidy,Iowa,(563) 555-053,cmullins@alumni.rouxacademy.com,2004,3.04,Graphic Design
14570,Frederick,Patti,Georgia,(229) 555-203,pfrederick@alumni.rouxacademy.com,2000,2.37,Fine Art and Visual Culture
14640,Peters,Victor,Texas,(832) 555-106,vpeters@alumni.rouxacademy.com,2003,2.81,Photography
15248,Rivers,Armida,California,(747) 555-097,arivers@alumni.rouxacademy.com,2006,2.78,Graphic Design
15264,Sweeney,Shanel,Connecticut,(203) 555-495,ssweeney@alumni.rouxacademy.com,2009,2.66,Graphic Design
15371,Short,Freda,New York,(929) 555-298,fshort@alumni.rouxacademy.com,2004,3.36,Animation
15377,Johns,Connie,Minnesota,(651) 555-747,cjohns@alumni.rouxacademy.com,2006,2.69,Photography
15411,Trujillo,Carol,Texas,(832) 555-137,ctrujillo@alumni.rouxacademy.com,2002,3.67,Animation
15531,Bauer,Kim,Massachusetts,(857) 555-282,kbauer@alumni.rouxacademy.com,2003,3.83,Fashion and Textile Design
15693,Burnett,Roxanne,New York,(914) 555-659,rburnett@alumni.rouxacademy.com,2011,2.09,Fashion and Textile Design
15863,Mccormick,Federico,Connecticut,(475) 555-351,fmccormick@alumni.rouxacademy.com,2011,2.52,Photography
15872,Cochran,Rashida,New York,(607) 555-489,rcochran2@alumni.rouxacademy.com,2003,2.73,Graphic Design
15951,Castillo,Arnoldo,New York,(516) 555-392,acastillo@alumni.rouxacademy.com,2005,2.95,Graphic Design
15974,Buckley,Virgil,New York,(716) 555-285,vbuckley@alumni.rouxacademy.com,2006,2.98,Graphic Design
16049,Cameron,Franklin,Georgia,(912) 555-637,fcameron@alumni.rouxacademy.com,2009,2.84,Fine Art and Visual Culture
16285,Glover,Marine,Oklahoma,(405) 555-122,mglover@alumni.rouxacademy.com,2002,2.44,Photography
16324,Thomas,Lupe,New York,(516) 555-402,lthomas@alumni.rouxacademy.com,2002,3.78,Graphic Design
16350,Wilcox,Mandy,New Jersey,(848) 555-225,mwilcox@alumni.rouxacademy.com,2011,3,Fine Art and Visual Culture
16362,Blake,Marion,Alabama,(205) 555-145,mblake@alumni.rouxacademy.com,2011,3.21,Graphic Design
16442,Jenkins,Vashti,Washington,(425) 555-822,vjenkins@alumni.rouxacademy.com,2009,2.59,Animation
16512,Hull,Cecila,Minnesota,(952) 555-373,chull2@alumni.rouxacademy.com,2006,2.98,Photography
16536,Michael,Joesph,Michigan,(989) 555-186,jmichael@alumni.rouxacademy.com,2004,3.99,Fashion and Textile Design
16682,Chandler,Neil,California,(415) 555-394,nchandler2@alumni.rouxacademy.com,2006,2.54,Fashion and Textile Design
16874,Cantrell,Charlsie,Tennessee,(731) 555-426,ccantrell@alumni.rouxacademy.com,2003,2.77,Graphic Design
17100,Mcgee,Amina,Oklahoma,(580) 555-307,amcgee@alumni.rouxacademy.com,2002,3.21,Fine Art and Visual Culture
17218,Atkins,Tammara,Mississippi,(601) 555-037,tatkins@alumni.rouxacademy.com,2007,2.33,Graphic Design
17282,Reid,Sabina,Michigan,(231) 555-537,sreid2@alumni.rouxacademy.com,2002,3.75,Fashion and Textile Design
17286,Zamora,Lucie,Indiana,(317) 555-789,lzamora@alumni.rouxacademy.com,2001,2.91,Photography
17330,Gay,Louetta,Iowa,(319) 555-669,lgay@alumni.rouxacademy.com,2002,3.26,Photography
17351,Bradley,Marinda,Michigan,(269) 555-794,mbradley@alumni.rouxacademy.com,2005,3.46,Graphic Design
17554,Hendricks,Sierra,Utah,(435) 555-259,shendricks@alumni.rouxacademy.com,2000,3.91,Photography
17715,Boyer,Courtney,California,(760) 555-597,cboyer2@alumni.rouxacademy.com,2011,3.52,Animation
17730,Spencer,Willian,California,(805) 555-295,wspencer@alumni.rouxacademy.com,2001,3.86,Graphic Design
18088,Snow,Ana,Kentucky,(606) 555-809,asnow@alumni.rouxacademy.com,2007,3.32,Graphic Design
18191,Mendoza,Frederick,New Jersey,(862) 555-115,fmendoza@alumni.rouxacademy.com,2005,2.75,Animation
18353,Mooney,Cristobal,Florida,(239) 555-861,cmooney@alumni.rouxacademy.com,2010,2.8,Graphic Design
18617,Wiley,Edwina,Texas,(832) 555-710,ewiley@alumni.rouxacademy.com,2001,3.36,Photography
18791,Shaw,Cassie,Missouri,(816) 555-649,cshaw@alumni.rouxacademy.com,2003,3.24,Graphic Design
18969,Monroe,Lucila,Texas,(210) 555-976,lmonroe@alumni.rouxacademy.com,2002,2.9,Photography
19095,Weeks,Jamie,Texas,(254) 555-197,jweeks@alumni.rouxacademy.com,2011,2.25,Fine Art and Visual Culture
19264,Vang,Reginia,Hawaii,(808) 555-953,rvang@alumni.rouxacademy.com,2010,3.03,Fine Art and Visual Culture
19272,Blanchard,Rena,Texas,(903) 555-855,rblanchard@alumni.rouxacademy.com,2003,2.89,Photography
19280,Melendez,Dwana,Oklahoma,(405) 555-515,dmelendez@alumni.rouxacademy.com,2010,2.22,Photography
19370,Keller,Grayce,Texas,(210) 555-429,gkeller@alumni.rouxacademy.com,2009,2.76,Fashion and Textile Design
19442,Stokes,Renaldo,Missouri,(417) 555-018,rstokes@alumni.rouxacademy.com,2007,2.23,Animation
19485,Dorsey,Clarissa,Arizona,(602) 555-732,cdorsey@alumni.rouxacademy.com,2007,2.22,Fine Art and Visual Culture
19641,Watson,Camille,California,(831) 555-995,cwatson@alumni.rouxacademy.com,2007,2.27,Fashion and Textile Design
19695,Santiago,Sheryll,New Jersey,(732) 555-579,ssantiago@alumni.rouxacademy.com,2004,3.77,Photography
19701,Moody,Ahmad,Indiana,(260) 555-857,amoody@alumni.rouxacademy.com,2002,2.89,Graphic Design
19728,Goodman,Marcelene,Mississippi,(601) 555-811,mgoodman2@alumni.rouxacademy.com,2002,2.82,Fine Art and Visual Culture
19737,Tyson,Chasidy,New Jersey,(856) 555-902,ctyson@alumni.rouxacademy.com,2011,2.95,Animation
20109,Spence,Romelia,Ohio,(216) 555-854,rspence@alumni.rouxacademy.com,2010,2.84,Graphic Design
20448,Jacobs,January,California,(858) 555-713,jjacobs@alumni.rouxacademy.com,2005,3.48,Photography
20449,Howell,Danilo,California,(925) 555-839,dhowell@alumni.rouxacademy.com,2010,2.51,Animation
20545,Conway,James,Alabama,(334) 555-571,jconway2@alumni.rouxacademy.com,2004,2.85,Animation
20684,Flores,Maisie,Ohio,(234) 555-410,mflores@alumni.rouxacademy.com,2009,3.85,Animation
20698,Ruiz,Ginny,Texas,(210) 555-988,gruiz@alumni.rouxacademy.com,2011,3.41,Animation
20814,Oneill,Tegan,Tennessee,(901) 555-791,toneill@alumni.rouxacademy.com,2003,3.35,Fine Art and Visual Culture
20819,Cortez,Percy,Wisconsin,(262) 555-351,pcortez@alumni.rouxacademy.com,2000,2.51,Animation
20825,Wells,Ayako,North Carolina,(980) 555-951,awells2@alumni.rouxacademy.com,2008,2.51,Animation
21008,Justice,Leeann,Pennsylvania,(878) 555-936,ljustice3@alumni.rouxacademy.com,2008,3.22,Graphic Design
21181,Cannon,Yasuko,Florida,(407) 555-429,ycannon@alumni.rouxacademy.com,2008,2.54,Photography
21254,Key,Jacelyn,South Carolina,(864) 555-052,jkey2@alumni.rouxacademy.com,2006,3.7,Fine Art and Visual Culture
21277,Dunn,Myriam,Oklahoma,(405) 555-454,mdunn@alumni.rouxacademy.com,2007,2.27,Fashion and Textile Design
21290,Terry,Polly,Florida,(941) 555-275,pterry@alumni.rouxacademy.com,2005,2.13,Animation
21392,Levy,Jin,Massachusetts,(339) 555-619,jlevy@alumni.rouxacademy.com,2002,3.82,Fashion and Textile Design
21433,Holland,Francina,Iowa,(319) 555-473,fholland@alumni.rouxacademy.com,2006,3.83,Fine Art and Visual Culture
21510,Edwards,Corine,Virginia,(434) 555-786,cedwards@alumni.rouxacademy.com,2006,2.14,Fine Art and Visual Culture
21538,Greene,Katherine,Illinois,(847) 555-412,kgreene@alumni.rouxacademy.com,2006,2.77,Photography
21707,Brennan,Lavon,Illinois,(217) 555-682,lbrennan@alumni.rouxacademy.com,2006,2.21,Photography
22171,Raymond,Weston,New Jersey,(862) 555-252,wraymond@alumni.rouxacademy.com,2003,3.21,Fashion and Textile Design
22258,Cooper,Claud,Pennsylvania,(267) 555-093,ccooper@alumni.rouxacademy.com,2004,2.2,Graphic Design
22279,Walters,Tanesha,Iowa,(563) 555-915,twalters@alumni.rouxacademy.com,2002,3.38,Fine Art and Visual Culture
22463,Howard,Josette,Wisconsin,(262) 555-102,jhoward@alumni.rouxacademy.com,2002,2.42,Graphic Design
22500,Matthews,Kimberli,California,(805) 555-559,kmatthews@alumni.rouxacademy.com,2004,2.23,Photography
22822,Carter,Kimiko,New Jersey,(201) 555-561,kcarter2@alumni.rouxacademy.com,2009,3.34,Animation
22882,Franks,Shenita,New York,(917) 555-762,sfranks@alumni.rouxacademy.com,2000,3.36,Fine Art and Visual Culture
22911,Jackson,Raylene,New Jersey,(201) 555-855,rjackson2@alumni.rouxacademy.com,2004,2.71,Photography
23031,Underwood,Taren,Illinois,(331) 555-801,tunderwood@alumni.rouxacademy.com,2007,2.79,Fashion and Textile Design
23051,Potter,Maddie,North Carolina,(980) 555-861,mpotter@alumni.rouxacademy.com,2005,2.55,Animation
23107,Nguyen,Opal,California,(424) 555-117,onguyen@alumni.rouxacademy.com,2001,3.22,Animation
23318,Cox,Alfredia,Hawaii,(808) 555-230,acox3@alumni.rouxacademy.com,2006,3.77,Fashion and Textile Design
23421,Schultz,Shawnee,South Dakota,(605) 555-470,sschultz2@alumni.rouxacademy.com,2009,2.89,Photography
23430,Chambers,Sang,Massachusetts,(978) 555-625,schambers@alumni.rouxacademy.com,2005,3.28,Photography
23544,Barrett,Melba,Missouri,(636) 555-882,mbarrett2@alumni.rouxacademy.com,2009,2.71,Fashion and Textile Design
23724,Kirkland,Salena,New Jersey,(732) 555-441,skirkland@alumni.rouxacademy.com,2004,2.06,Fine Art and Visual Culture
23842,Williamson,Von,Michigan,(248) 555-256,vwilliamson@alumni.rouxacademy.com,2000,3.41,Photography
23851,Foster,Terrie,Texas,(806) 555-429,tfoster@alumni.rouxacademy.com,2010,2.37,Photography
23910,Montgomery,Rigoberto,Virginia,(757) 555-715,rmontgomery@alumni.rouxacademy.com,2010,2.66,Fine Art and Visual Culture
23918,Noel,Merrill,Texas,(956) 555-284,mnoel@alumni.rouxacademy.com,2008,3.6,Animation
24071,Gilliam,Glen,California,(530) 555-519,ggilliam@alumni.rouxacademy.com,2007,3.47,Photography
24132,Pate,Sam,California,(424) 555-566,spate@alumni.rouxacademy.com,2002,3.19,Photography
